ano,id_municipio,grupo_idade,sexo,cor_raca,populacao_residente
2010,2913606,40 a 44 anos,Homens,Indígena,120
2010,2913606,40 a 44 anos,Mulheres,Parda,3780
2010,2913606,45 a 49 anos,Mulheres,Amarela,61
2010,2913606,50 a 54 anos,Homens,Preta,1045
2022,2913606,50 a 54 anos,Homens,Preta,1317
2010,2913606,50 a 54 anos,Mulheres,Parda,2876
2022,2913606,50 a 54 anos,Homens,Branca,873
2022,2913606,50 a 54 anos,Mulheres,Indígena,195
2010,2913606,55 a 59 anos,Mulheres,Amarela,33
2010,2913606,55 a 59 anos,Mulheres,Parda,2266
2022,2913606,60 a 64 anos,Homens,Amarela,1
2010,2913606,60 a 64 anos,Mulheres,Preta,527
2022,2913606,60 a 64 anos,Mulheres,Parda,2934
2022,2913606,60 a 64 anos,Mulheres,Branca,945
2010,2913606,65 a 69 anos,Mulheres,Branca,552
2010,2913606,65 a 69 anos,Homens,Indígena,47
2010,2913606,65 a 69 anos,Homens,Parda,1111
2022,2913606,65 a 69 anos,Mulheres,Preta,857
2022,2913606,65 a 69 anos,Homens,Parda,1904
2022,2913606,65 a 69 anos,Homens,Indígena,117
2022,2913606,65 a 69 anos,Homens,Preta,700
2022,2913606,70 a 74 anos,Homens,Amarela,2
2022,2913606,70 a 74 anos,Mulheres,Preta,536
2022,2913606,75 a 79 anos,Homens,Amarela,2
2022,2913606,75 a 79 anos,Homens,Preta,268
2022,2913606,75 a 79 anos,Mulheres,Indígena,64
2022,2913606,75 a 79 anos,Homens,Indígena,69
2022,2913606,75 a 79 anos,Mulheres,Branca,425
2010,2913606,85 a 89 anos,Homens,Amarela,
2022,2913606,85 a 89 anos,Homens,Amarela,
2010,2913606,85 a 89 anos,Mulheres,Parda,227
2010,2913606,90 a 94 anos,Mulheres,Amarela,
2010,2913606,90 a 94 anos,Mulheres,Preta,47
2022,2913606,90 a 94 anos,Mulheres,Preta,54
2010,2913606,95 a 99 anos,Mulheres,Preta,16
