ano,id_municipio,tipo_destino_lixo,grupo_idade,cor_raca,moradores
2022,2913606,Coletado no domicílio por serviço de limpeza,60 a 64 anos,Branca,1459
2022,2913606,Coletado no domicílio por serviço de limpeza,65 a 69 anos,Parda,2950
2022,2913606,Coletado no domicílio por serviço de limpeza,85 a 89 anos,Indígena,18
2022,2913606,Coletado no domicílio por serviço de limpeza,90 a 94 anos,Parda,208
2022,2913606,Coletado no domicílio por serviço de limpeza,100 anos ou mais,Preta,6
2022,2913606,Coletado no domicílio por serviço de limpeza,100 anos ou mais,Parda,22
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",10 a 14 anos,Branca,18
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",20 a 24 anos,Parda,86
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",35 a 39 anos,Parda,80
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",40 a 44 anos,Branca,17
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",45 a 49 anos,Preta,49
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",90 a 94 anos,Preta,2
2022,2913606,Coletado,0 a 4 anos,Parda,5432
2022,2913606,Coletado,5 a 9 anos,Branca,1800
2022,2913606,Coletado,10 a 14 anos,Amarela,16
2022,2913606,Coletado,10 a 14 anos,Branca,1808
2022,2913606,Coletado,30 a 34 anos,Preta,2965
2022,2913606,Coletado,35 a 39 anos,Amarela,19
2022,2913606,Coletado,50 a 54 anos,Parda,5879
2022,2913606,Coletado,75 a 79 anos,Parda,1446
2022,2913606,Coletado,85 a 89 anos,Preta,214
2022,2913606,Coletado,90 a 94 anos,Amarela,1
2022,2913606,Outro destino,5 a 9 anos,Indígena,5
2022,2913606,Outro destino,15 a 19 anos,Amarela,
2022,2913606,Outro destino,25 a 29 anos,Amarela,1
2022,2913606,Outro destino,35 a 39 anos,Amarela,
2022,2913606,Outro destino,65 a 69 anos,Parda,32
2022,2913606,Outro destino,80 a 84 anos,Amarela,
2022,2913606,Outro destino,90 a 94 anos,Indígena,
2022,2913606,Outro destino,90 a 94 anos,Parda,3
2022,2913606,Queimado na propriedade,5 a 9 anos,Indígena,334
2022,2913606,Queimado na propriedade,15 a 19 anos,Parda,545
2022,2913606,Queimado na propriedade,25 a 29 anos,Amarela,2
2022,2913606,Queimado na propriedade,35 a 39 anos,Indígena,214
2022,2913606,Queimado na propriedade,50 a 54 anos,Branca,76
2022,2913606,Queimado na propriedade,55 a 59 anos,Amarela,2
2022,2913606,Queimado na propriedade,80 a 84 anos,Branca,22
2022,2913606,Enterrado na propriedade,0 a 4 anos,Indígena,6
2022,2913606,Enterrado na propriedade,10 a 14 anos,Parda,6
2022,2913606,Enterrado na propriedade,15 a 19 anos,Preta,2
2022,2913606,Enterrado na propriedade,20 a 24 anos,Indígena,1
2022,2913606,Enterrado na propriedade,30 a 34 anos,Branca,2
2022,2913606,Enterrado na propriedade,60 a 64 anos,Parda,11
2022,2913606,Enterrado na propriedade,65 a 69 anos,Indígena,
2022,2913606,Enterrado na propriedade,70 a 74 anos,Amarela,
2022,2913606,Enterrado na propriedade,85 a 89 anos,Branca,
2022,2913606,Enterrado na propriedade,95 a 99 anos,Indígena,
2022,2913606,Enterrado na propriedade,100 anos ou mais,Indígena,
2022,2913606,Depositado em caçamba de serviço de limpeza,15 a 19 anos,Parda,1551
2022,2913606,Depositado em caçamba de serviço de limpeza,20 a 24 anos,Amarela,4
2022,2913606,Depositado em caçamba de serviço de limpeza,20 a 24 anos,Parda,1405
2022,2913606,Depositado em caçamba de serviço de limpeza,20 a 24 anos,Indígena,93
