id_municipio,populacao_residente,area_unidade_territorial
3151206,55606,550
3515509,71186,550
4211702,23661,550
2311959,16633,806
2906899,9940,806
2607505,32650,1062
5215652,3132,1318
3127701,257171,2342
1720903,14011,2342
2911907,24607,2342
3134202,102217,2598
5213087,27075,2854
2603603,7750,39
3128303,19150,295
3133709,12966,295
3202900,10597,295
4211603,13664,295
4315958,2291,295
3132404,93073,295
4304713,7394,295
2929305,39513,295
2409605,2441,295
3546306,28864,295
2603207,28827,295
2920304,8670,551
3147105,97139,551
3202801,39832,551
3509106,5466,551
1101435,6200,807
3551801,12730,1063
4200408,6508,1319
2601607,18301,1831
3147006,94023,8231
1508159,43558,10791
1505064,60732,15399
2512754,4690,40
4310330,26824,40
2702207,5581,40
2512762,4738,40
3515202,9417,296
3534708,103970,296
3554201,4127,296
2403004,8005,296
3118700,9023,296
4316006,21253,296
2303956,20163,296
2615607,30321,296
4202701,5363,296
2504306,30661,552
3507407,14226,552
3166956,4399,552
1504307,25971,808
2105989,7057,1064
3100609,12589,1320
3126604,4503,1576
5103205,31370,3112
3302858,167127,41
2609600,349976,41
2511707,5329,41
2409209,3115,41
2708907,24278,41
4214003,20010,297
5218102,3280,553
3547700,17963,553
4306932,9158,553
3136959,5789,1065
5204706,12510,1065
3511003,19977,1065
5205802,10562,1065
2203206,11270,2345
4311502,7157,2601
1507904,24204,2857
2112308,36251,3369
1505809,62503,25385
3117876,7350,42
2409100,10896,42
2505204,6730,42
3556453,50415,42
2703809,17150,298
4309407,25268,298
4109807,51603,298
2933208,42529,298
3131505,9135,298
3112406,6562,298
4101002,19620,298
2903607,15146,554
3146909,13920,554
3535606,17667,810
3526803,66505,810
3114402,20954,1066
2913002,14637,1834
1712504,4615,2090
3204906,123752,2346
5107354,5964,7466
5107859,13621,16682
2508554,4797,43
4106209,19128,299
2709152,38053,299
5205059,2985,299
3171303,76430,299
3204658,8589,299
4122602,9097,555
2609808,13613,555
4116802,6790,555
4214706,10865,555
2915205,15310,811
4122206,37558,811
3304607,10232,811
4104808,348051,2091
2111805,17074,3115
5106315,2015,4395
1100205,460434,34091
2806404,7346,44
4303103,136258,44
4127957,8077,300
4219176,4576,300
3105004,7492,556
3516705,42110,556
3153707,3179,556
4105508,79527,812
2301505,7429,1068
3145455,5385,2092
3168903,7883,2092
1200807,16693,2604
1400472,32647,33580
4322541,6058,45
4202008,139155,45
2406155,3739,45
3540754,20392,45
4218707,110088,301
2411502,22177,301
3533700,4331,301
4320206,11950,301
1718303,9044,301
5207501,3205,301
3140704,37841,301
3108305,17404,301
2401602,4807,301
4101408,130134,557
3540606,56497,557
2514107,4263,813
3530706,153658,813
3526100,17154,813
3300100,167434,813
5219357,3538,813
2210391,2829,813
1700350,5147,1581
1701002,10325,1581
3104700,13736,1837
3127800,13901,3885
1501105,31892,4397
1500602,126279,159533
2801504,13853,46
2515104,11040,46
3506201,2606,302
3523008,3979,302
4214904,4847,302
3108107,7434,302
3142106,8968,302
3156700,129380,302
