id_municipio,forma_declaracao_idade,sexo,idade,idade_anos,grupo_idade,populacao_residente
2913606,Data de nascimento,Homens,69 anos,69.0,65 a 69 anos,454
2913606,Idade presumida,Mulheres,70 anos,70.0,70 a 74 anos,119
2913606,Idade presumida,Mulheres,73 anos,73.0,70 a 74 anos,79
2913606,Idade presumida,Homens,75 anos,75.0,75 a 79 anos,63
2913606,Data de nascimento,Mulheres,75 anos,75.0,75 a 79 anos,314
2913606,Data de nascimento,Homens,80 anos,80.0,80 a 84 anos,173
2913606,Data de nascimento,Homens,82 anos,82.0,80 a 84 anos,148
2913606,Data de nascimento,Mulheres,82 anos,82.0,80 a 84 anos,246
2913606,Data de nascimento,Homens,83 anos,83.0,80 a 84 anos,138
2913606,Data de nascimento,Mulheres,83 anos,83.0,80 a 84 anos,185
2913606,Data de nascimento,Mulheres,92 anos,92.0,90 a 94 anos,46
2913606,Idade presumida,Mulheres,1 mês,,100 anos ou mais,2
2913606,Idade presumida,Mulheres,2 meses,0.16666666666666666,0 a 4 anos,5
2913606,Idade presumida,Mulheres,10 meses,0.0,0 a 4 anos,6
2913606,Idade presumida,Mulheres,5 meses,0.41666666666666669,0 a 4 anos,7
2913606,Idade presumida,Mulheres,9 meses,0.75,0 a 4 anos,7
2913606,Idade presumida,Homens,4 meses,0.33333333333333331,0 a 4 anos,8
2913606,Idade presumida,Mulheres,4 meses,0.33333333333333331,0 a 4 anos,8
2913606,Data de nascimento,Homens,94 anos,94.0,90 a 94 anos,17
2913606,Idade presumida,Mulheres,88 anos,88.0,85 a 89 anos,30
2913606,Idade presumida,Homens,4 anos,4.0,0 a 4 anos,222
2913606,Data de nascimento,Mulheres,4 anos,4.0,0 a 4 anos,947
2913606,Data de nascimento,Mulheres,6 anos,6.0,5 a 9 anos,862
2913606,Data de nascimento,Mulheres,9 anos,9.0,5 a 9 anos,955
2913606,Idade presumida,Mulheres,12 anos,12.0,10 a 14 anos,193
2913606,Idade presumida,Homens,12 anos,12.0,10 a 14 anos,226
2913606,Data de nascimento,Homens,15 anos,15.0,15 a 19 anos,1080
2913606,Idade presumida,Mulheres,17 anos,17.0,15 a 19 anos,212
2913606,Data de nascimento,Mulheres,19 anos,19.0,15 a 19 anos,1055
2913606,Idade presumida,Homens,19 anos,19.0,15 a 19 anos,260
2913606,Data de nascimento,Homens,2 meses,0.16666666666666666,0 a 4 anos,64
